,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
91,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2018-
0013540000","Aug 16, 2018",EN CALIFICACION (CALIFICA),VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
92,"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240005","Aug 16, 2018",AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
93,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001820000","Aug 15, 2018",CON INVESTIGACION PRELIMINAR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
94,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2018-
0002420000","Aug 14, 2018",DENUNCIA PENDIENTE,CONCUSION
95,"MERINO LOPEZ, OMAR",APP,Apurímac,02° Fiscalía Provincial Penal Corporativa De Abancay(Ncpp),"01406014502-2018-
0016080000","Aug 11, 2018",CON ARCHIVO (CALIFICA),LESIONES LEVES INC3ºC)ES MUJER
96,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0013540000","Aug 6, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
97,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001660000","Aug 6, 2018",CON INVESTIGACION PRELIMINAR,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
98,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2018-
0012960000","Aug 6, 2018",DENUNCIA PENDIENTE,APROPIACION ILICITA COMUN
99,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0013550000","Aug 6, 2018",CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
100,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2018-
0012190000","Aug 1, 2018",DENUNCIA PENDIENTE,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (A INTEGRAR O NO SINDICATO)
101,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2018-
0012200000","Aug 1, 2018",DENUNCIA PENDIENTE,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (A INTEGRAR O NO SINDICATO)
102,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2018-
0012210000","Aug 1, 2018",DENUNCIA PENDIENTE,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (A INTEGRAR O NO SINDICATO)
103,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,02º Fiscalia Superior Penal De Ancash Res. 865-2013,"01305014505-2018-
0000630000","Aug 1, 2018",IMPUGNACION RESUELTA - FISCAL SUPERIOR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBEDIENCIA A ORDEN DE EXAMEN CORPORAL)
104,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,02º Fiscalía Superior Penal De Junin(Ncpp),"02206015600-2018-
0000250002","Jul 26, 2018",RECEPCION DE SOLICITUD DE CONSULTA,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
105,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0012760000","Jul 22, 2018",EN CALIFICACION (CALIFICA),ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
106,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2018-
0013560000","Jul 22, 2018",EN CALIFICACION (CALIFICA),VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
107,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,01° Fiscalia Provincial Penal Corporativa De Arequipa,"01506014501-2018-
0065730000","Jul 17, 2018",DENUNCIA PENDIENTE,USURPACION
108,"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240004","Jul 16, 2018",AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
109,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,Junín,03º Fiscalía Superior Penal De Junin(Ncpp),"02206015600-2018-
0000250001","Jul 12, 2018",CONSULTA RESUELTA,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
110,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Piura(Ncpp),"02606065500-2018-
0001390000","Jul 2, 2018",CON INVESTIGACION PRELIMINAR,PECULADO - MALVERSACION (SI EL DINERO O BIENES CORRESPONDEN A PROGRAMAS DE APOYO SOCIAL)
111,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001460000","Jul 2, 2018",CON INVESTIGACION PRELIMINAR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
112,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0001500000","Jun 28, 2018",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
113,"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,02º Fiscalia Superior Nacional Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015504-2015-
0000040013","Jun 28, 2018",TRASLADO DE RECURSO DE APELACION,CONCUSION (COLUSION ILEGAL)
114,"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,04º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014504-2018-
0011430000","Jun 20, 2018",DENUNCIA PENDIENTE,OMISION DE ASISTENCIA FAMILIAR (INCUMPLIMOBLIGALIMENTARIA)
115,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010011","Jun 20, 2018",TRASLADO DE RECURSO DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
116,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010012","Jun 20, 2018",TRASLADO DE RECURSO DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
117,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010015","Jun 20, 2018",TRASLADO DE RECURSO DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
118,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010014","Jun 20, 2018",TRASLADO DE RECURSO DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
119,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010013","Jun 20, 2018",TRASLADO DE RECURSO DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
120,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406074503-2014-
0009630002","Jun 12, 2018",AUDIENCIA DE APELACION,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA)
121,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Superior Penal De Liquidacion De Lambayeque,"02406094500-2014-
0037110001","Jun 8, 2018",AUDIENCIA DE APELACION,CORRUPCION DE FUNCIONARIOS (CORRUPCION)
122,"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2018-
0015240000","May 16, 2018",CON INVESTIGACION PRELIMINAR,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA HACE EN TODO O PARTE UN DOCUMENTO FALSO O ADULTERA UNO VERDAD
123,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010003","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
124,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010004","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
125,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010010","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
126,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010009","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
127,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010005","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
128,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010006","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
129,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010007","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
130,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010008","May 10, 2018",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
131,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2018-
0003350000","May 4, 2018",EN CALIFICACION (CALIFICA),ABUSO DE AUTORIDAD
132,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003050000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
133,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003040000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
134,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040005","May 2, 2018",APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
135,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003020000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
136,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003000000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
137,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0002960000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
138,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0002950000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
139,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0002940000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
140,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0002930000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
141,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0002920000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
142,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003030000","May 2, 2018",NO HA LUGAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
143,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024502-2018-
0003170000","Apr 30, 2018",DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
144,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2018-
0020310000","Apr 23, 2018",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
145,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0000830000","Apr 19, 2018",DENUNCIA PENDIENTE,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
146,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0000780000","Apr 16, 2018",CON INVESTIGACION PRELIMINAR,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
147,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,02º Fiscalia Superior Civil De Arequipa,"01505010202-2018-
0004850000","Apr 12, 2018",PENDIENTE,CONTENCIOSO ADMINISTRATIVO
148,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Especializada En Prevencion Del Delito De Santa (Ncpp),"03106014902-2018-
0003010000","Apr 11, 2018",EN INVESTIGACION PREVENTIVA,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
149,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2011-
0000980004","Apr 11, 2018",CON ACUSACION,CONCUSION (COLUSION ILEGAL)
150,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2018-
0003060000","Apr 11, 2018",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
151,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2018-
0000890000","Apr 6, 2018",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
152,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0000720000","Apr 3, 2018",EN CALIFICACION (CALIFICA),CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
153,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,10º Fiscalia Provincial En Lo Penal De Lima,"00506010110-2018-
0000210000","Apr 2, 2018",AMPLIA INVESTIGACION POLICIAL,DLEG Nº 1106 LAVADO DE ACTIVOS
154,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2018-
0000660000","Mar 16, 2018",DENUNCIA PENDIENTE,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
155,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,03º Fiscalia Superior Penal De Ancash (Ncpp) Res. 865- 2013,"01305014506-2018-
0000200000","Mar 14, 2018",IMPUGNACION RESUELTA - FISCAL SUPERIOR,USURPACION (AGENTE CON VIOLENCIA O AMENAZA TURBA POSESION DE INMUEBLE)
156,"ALMERI VERAMENDI, CARLOS ALBERTO",Podemos,Lima Provincias,1ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020606-2018-
0001110000","Mar 1, 2018",INVESTIGACION,LESIONES LEVES INC4ºVICTIMA MUERE COMO CONSECUENCIA DE LA LESION A QUE SE REFIERE EL 
157,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,21º Fiscalia Provincial En Lo Penal De Lima,"00506010121-2018-
0001300000","Feb 26, 2018",DENUNCIA PENDIENTE,ESTAFA
158,"ALMERI VERAMENDI, CARLOS ALBERTO",Podemos,Lima Provincias,2ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020607-2018-
0001290000","Feb 23, 2018",INVESTIGACION,LESIONES LEVES (SEGUIDAS DE MUERTE Y AGENTE PUDO PREVER RESULTADO)
159,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2017-
0070450000","Dec 19, 2017",CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
160,"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,08º Fiscalia Provincial En Lo Penal De Lima-Norte,"00606010108-2017-
0013490000","Dec 19, 2017",DENUNCIA PENDIENTE,CONTRA LA VIDA/EL CUERPO Y LA SALUD
161,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040004","Dec 4, 2017",APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
162,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Nacional Especializada En Delitos De Lavado De Activos Y Perdida De Dominio,"00505015701-2017-
0000600000","Dec 1, 2017",CALIFICACION DE IMPUGNACION,LAVADO DE ACTIVOS
163,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015505-2017-
0002010001","Nov 29, 2017",AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
164,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Superior Nacional Especializada En Delitos De Lavado De Activos Y Perdida De Dominio,"00506015703-2017-
0000550002","Nov 29, 2017",RECEPCION DE SOLICITUD DE CONSULTA,LAVADO DE ACTIVOS
165,"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,03º Fiscalia Superior Penal De Ancash (Ncpp) Res. 865- 2013,"01305014506-2017-
0001270000","Nov 29, 2017",IMPUGNACION RESUELTA - FISCAL SUPERIOR,USURPACION (AGENTE CON VIOLENCIA O AMENAZA TURBA POSESION DE INMUEBLE)
166,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,05º Fiscalia Provincial Penal Corporativa De Huaraz,"01306014505-2017-
0013270000","Nov 28, 2017",CON INVESTIGACION PRELIMINAR,FALSIFICACION DE DOCUMENTOS EN GENERAL
167,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2017-
0003740000","Nov 22, 2017",DERIVADO (CALIFICA),DELITO CONTRA LA ADMINISTRACION DE JUSTICIA
168,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,02º Fiscalía Provincial Penal Corporativa De Chanchamayo(Ncpp),"02206034502-2017-
0017410000","Nov 20, 2017",DENUNCIA PENDIENTE,DAÑOS
169,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,05º Fiscalia Provincial Penal Corporativa De Huaraz,"01306014505-2017-
0012820000","Nov 15, 2017",DERIVADO (CALIFICA),FALSIFICACION DE DOCUMENTOS EN GENERAL
170,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0007600000","Nov 10, 2017",CON INVESTIGACION PRELIMINAR,APROPIACION ILICITA
171,"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040003","Nov 9, 2017",APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
172,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,"Fiscalia Especializada En Materia Ambiental De Loreto
- Maynas (Ncpp)","02506015200-2017-
0001150000","Nov 9, 2017",CON INVESTIGACION PRELIMINAR,CONTAMINACION DEL AMBIENTE CULPOSO
173,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0007640000","Nov 8, 2017",CON INVESTIGACION PRELIMINAR,ROBO
174,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,2ª Fiscalia Provincial Penal Corporativa De Camana,"01506034502-2017-
0019660000","Nov 7, 2017",DENUNCIA PENDIENTE,DEFRAUDACION DE RENTAS DE ADUANA
175,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Penal Especializada En Materia Ambiental,"00506010170-2017-
0002640000","Oct 30, 2017",ARCHIVO DEFINITIVO,RESPONSABILIDAD POR INFORMACION FALSA CONTENIDA EN INFORMES
176,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2017-
0060460000","Oct 30, 2017",EN CALIFICACION (CALIFICA),ABUSO DE AUTORIDAD
177,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0007620000","Oct 25, 2017",DENUNCIA PENDIENTE,APROPIACION ILICITA
178,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,36º Fiscalia Provincial En Lo Penal De Lima,"00506010136-2017-
0007930000","Oct 23, 2017",DENUNCIA PENDIENTE,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
179,"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0001860001","Oct 19, 2017",CON ARCHIVO (PRELIMINAR),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
180,"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2017-
0007320000","Oct 18, 2017",CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
181,"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Piura(Ncpp),"02606065500-2017-
0002160000","Oct 17, 2017",CON INVESTIGACION PRELIMINAR,DELITO CONTRA LA ADMINISTRACION PUBLICA
182,"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2017-
0059570000","Oct 14, 2017",DENUNCIA PENDIENTE,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
183,"CASTILLO OLIVA, LUIS FELIPE",Podemos,Lima,09º Fiscalia Provincial En Lo Penal De Lima-Norte,"00606010109-2017-
0011130000","Oct 11, 2017",INVESTIGACION POLICIAL,LESIONES
